PEREXNO|FCLTUIN|FCLNAME|FCLTYAD|FCLTCIT|FCLCNTY|FCLSTCD|FCLZIPC|FCLGLAT|FCLGLON|S303D|
RIR110351|110009813292|LAIDLAW TRANSIT, INC.|468 COMSTOCK ROAD|NORTH SMITHFIELD|RI007|RI|02846|0.0|0.0||
RIR110352|110006693792|LAIDLAW TRANSIT, INC.|529 SWITCH ROAD|WOOD RIVER JUNCTION|RI009|RI|02894|41.4471588|-71.6969985||
RIR110353|110006693809|LAIDLAW TRANSIT, INC.|404 MAIN STREET|PASCOAG|RI007|RI|02859|41.96317|-71.6957714||
RIR110354|110004926475|LAIDLAW TRANSIT, INC.|327 MARKET STREET|WARREN|RI001|RI|02885|41.7216048|-71.2577233||
RIR110493|110004896088|NEWPORT NAVAL|1 SIMONPIETRI DRIVE|NEWPORT|RI005|RI|02841|41.51549|-71.32228||
RIR120000||||||||0.0|0.0||
RIR120028|110028183935|PHARMACY TECHNOLOGIES INC.|666 PARK EAST DRIVE|WOONSOCKET|RI007|RI|02895|41.991653|-71.474991||
RIR120031|110032893983|COLFAX, INC.|38 COLFAX ROAD|PAWTUCKET|RI007|RI|02860|41.85083|-71.401108|Y|
RIR130000||||||||0.0|0.0||
RIR130007|110000772085|THE WORCESTER COMPANY|ONE GREYSTONE AVENUE|NORTH PROVIDENCE|RI007|RI|02911|41.863876|-71.491653|Y|
RIR130013|110009813309|PALISADES LTD.|1080 KINGSTOWN ROAD|PEACEDALE|RI009|RI|02883|41.450821|-71.493607|Y|
RIR130020|110016692408|CRANSTON PRINT WORKS COMPANY|SCREEN PRINT DIVISION|CRANSTON|RI007|RI|02920|41.791656|-71.458328|Y|
RIR130042|110000312251|COOLEY, INC.|50 ESTEN AVENUE|PAWTUCKET|RI007|RI|02860|41.858322|-71.391663|Y|
RIR130072|110028183944|HOPE VALLEY DYEING CORPORATION|20 REMINGTON STREET|WEST WARWICK|RI003|RI|02893|41.6875|-71.520828||
RIR130188|110001663138|MURDOCK WEBBING COMPANY|27 FOUNDRY STREET|CENTRAL FALLS|RI007|RI|02863|41.889728|-71.385492||
RIR130195|110004914674|PROV. JOURNAL PRODUCTION FAC.|210 KINSLEY AVENUE|PROVIDENCE|RI007|RI|02903|41.828217|-71.4243599||
RIR130202|110000312830|QUEBECOR PRINTING PROVIDENCE|99 WEST RIVER STREET|PROVIDENCE|RI007|RI|02904|41.8418412|-71.4150411||
RIR130210|110000819945|JAY PACKAGING GROUP, INC.|100 WARWICK INDUSTRIAL DRIVE|WARWICK|RI003|RI|02886|41.719558|-71.425522||
RIR130225|110015750187|THE MOORE COMPANY|DARLINGTON FABRICS|WESTERLY|RI009|RI|02891|41.3775996|-71.8272911||
RIR130273|110006693827|TYTEX, INC.|601 PARK EAST DRIVE|WOONSOCKET|RI007|RI|02895|41.996288|-71.475548||
RIR130278|110004928115|BRUIN PLASTICS COMPANY, INC.|P.O. BOX 700|GLENDALE|RI007|RI|02826|41.9857516|-71.6465694||
RIR150000||||||||0.0|0.0||
RIR150005|110000312297|PROVIDENCE METALLIZING CO.,INC|51 FAIRLAWN AVENUE|PAWTUCKET|RI007|RI|02860|41.875|-71.399994|Y|
RIR200000||||||||0.0|0.0||
RIR200001|110004903276|FERGUSON PERFORATING & WIRE CO|130-140 ERNEST STREET|PROVIDENCE|RI007|RI|02905|41.79332|-71.408325|Y|
