Accession Code (sample#),Lake Name, DEC Code,Date,Z max (m),Sample Type,Sample Z (m),Sample Layer,Secchi (m),Conductivity (umhos),pH air eq,ANC (ueq/L),NH4-N (ug N/L),NH4+ (mg/L),NH4+ (ueq/L),DIC (mg/L),DOC (mg/L),F (mg/L),Cl (mg/L),Cl (ueq/L),NO3-N (mg N/L),NO3- (mg/L),NO3- (ueq/L),SO4-S (mg S/L),SO4-- (mg/L),SO4-- (ueq/L),Total P (ug/L),MRP    (ug P/L),TFP (ug/L),TN (mg/L),Chla (ug/L),Si (mg/l),Dissolved Silica SiO2 (mg/l),Na (mg/L),Na (ueq/L),K (mg/L),K (ueq/L),Fe (mg/L),Mg (mg/L),Mg (ueq/L),Ca (mg/L),Ca (ueq/L),Total Al (ug/L),Total mono Al (ug/L),Nonlabile mono Al (ug/L),Labile mono Ali (ug/L),Hydrologic Type,Watershed,Watershed area (ha),lake volume (m3),WA/SA ratio,surface area (ha),surface area (m2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9846612,Grass,040706,9-Jul-98,5.30,G,5.00,Yh,5.30,20.80,6.51,46.66,12.52,0.02,0.89,3.23,4.28,0.03,0.50,13.86,0.11,0.49,7.80,1.31,3.93,78.60,7.20,1.77,2.76,0.42,2.54,1.64,3.51,0.97,41.88,0.12,3.03,0.19,0.47,38.13,1.90,93.24,,76.69,41.88,34.81,MDL,black,434125.0,750354,236.70,5.30,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9846684,Grass,040706,12-Aug-98,5.40,G,5.00,Yh,5.10,23.80,6.92,96.01,103.37,0.13,7.31,4.44,4.05,0.07,0.62,17.47,0.07,0.30,4.75,1.49,4.47,89.40,6.65,1.49,2.76,0.37,0.59,1.71,3.66,1.13,48.68,0.26,6.58,0.24,0.40,32.88,2.39,117.19,,22.90,3.10,19.80,MDL,black,434125.0,750354,236.70,5.30,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9946112,Grass,040706,8-Jul-99,5.20,G,4.00,Yh,4.20,19.70,6.32,29.20,17.93,0.02,1.27,1.93,3.12,0.05,0.38,10.64,0.13,0.58,9.21,1.49,4.47,89.40,6.96,1.33,3.66,0.05,1.12,1.81,3.86,0.93,40.12,0.33,8.20,0.15,0.41,33.95,2.10,102.90,179.57,37.71,11.42,26.29,MDL,black,434125.0,750354,236.70,5.30,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10046512,Grass,040706,20-Jul-00,5.70,G,5.00,Yh,4.60,20.40,6.79,71.92,23.59,0.03,1.67,3.68,3.77,0.09,0.32,8.90,0.08,0.37,5.88,1.54,4.62,92.46,8.29,5.87,3.31,0.34,,2.24,4.80,0.89,38.36,0.37,9.28,0.16,0.39,31.90,2.11,103.34,233.24,51.04,22.60,28.44,MDL,black,434125.0,750354,236.70,5.30,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10046585,Grass,040706,16-Aug-00,5.40,G,5.00,Yh,4.20,23.50,7.22,29.51,105.48,0.14,7.46,6.61,3.15,0.11,0.45,12.66,0.03,0.11,1.77,1.05,3.16,63.24,9.10,5.45,3.61,0.59,2.72,2.43,5.20,0.89,38.14,0.46,11.50,0.85,0.42,34.60,2.73,133.82,214.46,30.78,14.59,16.19,MDL,black,434125.0,750354,236.70,5.30,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146013,Grass,040706,11-Jul-01,5.00,G,4.00,Yh,5.00,18.00,5.46,12.50,9.52,0.01,0.67,1.33,4.20,0.09,0.19,5.35,0.24,1.05,16.72,1.38,4.15,82.92,6.47,1.19,3.32,0.44,1.29,1.64,3.51,0.69,29.58,0.26,6.55,0.13,0.26,20.91,1.41,68.94,390.99,163.12,14.49,148.63,MDL,black,434125.0,750354,236.70,5.30,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346014,Grass,040706,9-Jul-03,5.50,G,5.00,Yh,4.00,19.20,6.40,31.97,5.00,0.01,0.35,2.01,2.87,0.08,0.36,10.00,0.16,0.71,11.41,1.51,4.53,90.54,4.48,1.34,1.74,0.23,5.17,1.67,3.57,0.91,39.26,0.38,9.55,0.13,0.37,30.67,1.86,90.90,299.78,98.88,34.56,64.32,MDL,black,434125.0,750354,236.70,5.30,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346100,Grass,040706,6-Aug-03,5.20,G,4.00,Yh,3.90,18.70,6.51,34.92,11.73,0.02,0.83,,3.06,0.09,0.32,8.93,0.09,0.39,6.17,1.46,4.37,87.36,5.03,0.50,1.64,0.34,1.47,1.62,3.47,0.89,38.27,0.32,8.03,0.13,0.39,31.73,1.83,89.47,254.43,74.82,22.15,52.67,MDL,black,434125.0,750354,236.70,5.30,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10446014,Grass,040706,13-Jul-04,5.50,G,5.00,Yh,4.50,18.00,6.44,51.94,23.60,0.03,1.67,3.84,1.53,0.09,0.27,7.42,0.13,0.59,9.42,1.46,4.37,87.48,5.06,2.38,2.18,0.37,5.58,1.74,3.72,0.98,42.18,0.43,10.70,0.13,0.49,40.18,1.55,76.10,230.81,39.13,14.25,24.88,MDL,black,434125.0,750354,236.70,5.30,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10546014,Grass,040706,12-Jul-05,6.80,G,5.00,Yh,5.20,21.80,6.96,84.43,96.90,0.12,6.85,4.24,2.50,0.09,0.55,15.40,0.12,0.52,8.36,1.23,3.69,73.80,9.21,1.65,2.04,0.46,2.40,1.88,4.02,1.08,46.44,0.49,12.33,0.34,0.42,34.28,2.18,106.87,223.39,35.97,14.11,21.86,MDL,black,434125.0,750354,236.70,5.30,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10546099,Grass,040706,9-Aug-05,5.50,G,4.00,Yh,3.80,22.50,6.94,60.25,46.50,0.06,3.29,3.23,1.71,0.09,0.34,9.49,0.13,0.57,9.14,1.24,3.72,74.40,5.47,2.56,1.70,0.38,6.23,1.78,3.81,1.09,46.87,0.39,9.70,0.13,0.40,32.96,2.05,100.30,161.08,35.81,14.92,20.89,MDL,black,434125.0,750354,236.70,5.30,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10646014,Grass,040706,13-Jul-06,5.70,G,4.00,Yh,3.50,23.10,7.01,86.00,84.80,0.11,6.00,4.80,2.38,0.09,0.41,11.51,0.07,0.33,5.26,1.37,4.11,82.20,8.48,2.82,2.30,0.39,1.18,2.43,5.20,1.11,47.56,0.44,11.05,0.38,0.41,33.21,1.74,85.41,293.84,29.63,5.75,23.88,MDL,black,434125.0,750354,236.70,5.30,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10646099,Grass,040706,9-Aug-06,5.20,G,4.00,Yh,5.10,20.40,6.87,58.91,55.30,0.07,3.91,3.99,2.07,0.09,0.32,8.82,0.09,0.41,6.51,1.35,4.05,81.00,6.77,1.25,2.94,0.31,4.11,2.06,4.41,0.98,42.05,0.32,8.00,0.13,0.37,30.18,1.88,92.07,243.79,36.18,9.58,26.61,MDL,black,434125.0,750354,236.70,5.30,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10246044,Hell Diver,040877,22-Aug-02,2.4,I,1.0,Ye,0.80,18.60,5.37,15.18,5.00,0.01,0.35,0.50,9.11,0.07,0.34,9.46,0.005,0.02,0.35,1.34,4.03,80.64,33.87,14.01,4.04,0.73,11.44,0.87,1.86,0.50,21.33,0.22,5.50,0.59,0.32,26.24,2.11,103.19,146.71,84.06,47.36,36.70,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10246123,Hell Diver,040877,18-Sep-02,2.9,I,1.5,Ye,0.70,18.10,5.53,10.85,5.00,0.01,0.35,0.50,8.72,0.08,0.30,8.51,0.005,0.02,0.35,1.36,4.09,81.72,17.47,6.18,3.58,0.66,15.40,0.68,1.46,0.51,21.76,0.22,5.40,0.49,0.30,24.76,1.92,94.08,118.00,68.53,37.55,30.98,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346044,Hell Diver,040877,10-Jul-03,3.5,I,2.0,Ye,0.70,19.80,5.03,5.14,14.09,0.02,1.00,1.04,4.55,0.04,0.34,9.38,0.013,0.06,0.89,1.44,4.33,86.52,16.97,3.94,4.62,0.40,27.74,1.31,2.80,0.49,21.20,0.27,6.63,0.74,0.33,27.14,1.61,78.69,194.31,126.21,76.38,49.83,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346130,Hell Diver,040877,7-Aug-03,2.7,I,1.0,Ye,1.00,20.00,5.07,7.78,2.50,0.00,0.18,0.55,8.91,0.04,0.33,9.21,0.013,0.06,0.89,1.54,4.61,92.22,17.56,3.77,3.11,0.53,15.93,0.38,0.81,0.48,20.47,0.28,7.05,0.55,0.32,25.99,2.21,108.39,157.69,102.46,56.60,45.85,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10446044,Hell Diver,040877,21-Jul-04,2.5,I,1.0,Ye,0.90,16.60,4.98,-1.16,,0.00,0.00,0.61,8.48,0.05,0.24,6.61,0.013,0.06,0.89,1.24,3.71,74.10,15.23,5.95,3.24,0.69,13.31,1.16,2.48,0.47,20.21,0.23,5.83,0.71,0.34,27.80,1.75,85.90,180.68,100.32,65.81,34.51,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10446130,Hell Diver,040877,9-Aug-04,3.8,I,1.0,Ye,0.70,17.00,4.87,-0.62,20.70,0.03,1.46,1.54,11.56,0.05,,,0.013,0.06,0.89,1.05,3.15,63.00,15.65,7.42,3.24,0.76,10.66,0.00,,0.42,17.93,0.16,3.93,0.88,0.32,26.57,1.98,96.87,229.17,137.45,100.40,37.05,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10546044,Hell Diver,040877,12-Jul-05,4.0,I,1.0,Ye,0.80,18.90,5.06,3.11,5.00,0.01,0.35,0.80,9.34,0.05,,,0.013,0.06,0.89,1.11,3.33,66.60,18.15,5.81,4.54,0.60,16.33,0.29,0.62,0.54,23.26,0.42,10.50,0.82,0.29,23.37,1.83,89.87,190.28,106.53,78.04,28.49,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10546130,Hell Diver,040877,11-Aug-05,4.0,I,1.0,Ye,0.90,20.40,5.10,2.74,5.00,0.01,0.35,0.46,11.56,0.05,,,0.013,0.06,0.89,1.14,3.42,68.40,22.59,11.20,3.47,0.64,14.99,0.39,0.84,0.59,25.54,0.39,9.65,0.60,0.29,23.53,1.92,94.13,152.60,95.36,64.03,31.33,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10646043,Hell Diver,040877,24-Jul-06,3.5,I,1.0,Ye,0.50,20.30,4.93,3.79,34.70,0.04,2.45,1.97,15.23,0.05,0.28,7.78,0.013,0.06,0.89,0.82,2.47,49.44,16.10,9.37,4.70,0.92,10.79,1.58,3.38,0.47,20.38,0.18,4.58,1.12,0.32,25.91,1.93,94.57,,163.79,124.88,38.91,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10646130,Hell Diver,040877,11-Aug-06,3.1,I,1.0,Ye,0.60,21.20,4.87,1.62,5.00,0.01,0.35,1.77,8.40,0.06,0.26,7.20,0.013,0.06,0.89,0.72,2.15,43.02,19.41,8.90,5.89,1.02,20.70,1.71,3.66,0.44,18.71,0.21,5.15,,0.32,26.16,2.48,121.28,,,,0.00,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10246045,Hell Diver,040877,22-Aug-02,2.40,G,2.00,Yh,0.80,,5.53,16.29,5.00,0.01,0.35,4.22,10.72,0.06,0.28,7.73,0.01,0.02,0.35,1.17,3.52,70.44,31.09,10.26,2.58,1.24,35.80,1.81,3.62,0.47,20.17,0.31,7.78,1.70,0.34,27.72,2.19,107.11,212.25,137.42,88.95,48.47,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10246124,Hell Diver,040877,18-Sep-02,2.90,G,2.25,Yh,0.70,18.50,5.93,22.50,5.00,0.01,0.35,5.04,10.05,0.07,0.46,12.96,0.01,0.06,0.92,1.27,3.80,75.96,18.97,7.79,3.75,0.86,12.47,1.82,3.64,0.48,20.60,0.26,6.50,1.32,0.34,27.80,2.14,104.66,170.70,90.11,61.22,28.89,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346045,Hell Diver,040877,10-Jul-03,3.50,G,3.00,Yh,0.70,21.00,5.51,24.60,16.95,0.02,1.20,3.67,4.28,0.04,0.41,11.37,0.01,0.06,0.99,1.26,3.79,75.72,16.89,7.00,4.32,0.56,32.92,2.50,5.01,0.50,21.50,0.31,7.85,1.44,0.34,27.96,2.49,122.21,238.18,152.45,104.66,47.79,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346131,Hell Diver,040877,7-Aug-03,2.70,G,2.00,Yh,1.00,20.60,5.23,6.59,15.41,0.02,1.09,3.34,9.22,0.07,0.30,8.51,0.01,0.06,0.89,1.53,4.58,91.62,15.75,4.45,3.44,0.62,8.39,1.06,2.12,0.48,20.43,0.23,5.78,0.84,0.34,28.13,2.24,109.81,179.55,120.21,73.17,47.04,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10446045,Hell Diver,040877,21-Jul-04,2.50,G,2.00,Yh,0.90,17.60,5.37,19.62,166.90,0.21,11.80,4.10,10.29,0.05,0.20,5.49,0.01,0.06,0.89,1.11,3.33,66.66,7.23,6.11,4.81,0.95,11.22,1.90,3.81,0.47,20.17,0.24,6.05,1.27,0.35,29.03,1.87,91.83,225.45,99.08,71.29,27.79,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10446131,Hell Diver,040877,9-Aug-04,3.80,G,2.50,Yh,0.70,16.00,6.03,39.08,256.40,0.33,18.14,5.12,10.08,0.05,0.26,7.17,0.01,0.06,0.89,0.87,2.60,51.96,16.80,12.83,2.57,1.07,63.50,3.05,6.10,0.44,18.96,0.27,6.78,1.73,0.32,25.99,2.03,99.57,242.17,105.56,78.41,27.15,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10546045,Hell Diver,040877,12-Jul-05,4.00,G,3.00,Yh,0.80,18.80,6.46,63.73,387.00,0.50,27.37,6.04,11.15,0.05,0.63,17.53,0.01,0.06,0.89,0.65,1.96,39.12,27.09,7.66,,1.00,15.90,3.10,6.21,0.49,21.03,0.55,13.78,1.78,0.28,23.12,1.84,89.92,260.74,97.60,86.91,10.69,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10546131,Hell Diver,040877,11-Aug-05,4.00,G,3.00,Yh,0.90,24.30,6.90,107.17,868.00,1.12,61.39,,12.15,0.05,0.48,13.44,0.01,0.06,0.89,0.13,0.38,7.50,37.48,,,1.68,62.89,3.51,7.02,0.50,21.46,0.53,13.25,2.20,0.28,23.04,2.17,106.33,273.18,110.17,97.71,12.47,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10646044,Hell Diver,040877,24-Jul-06,3.50,G,2.00,Yh,0.50,19.30,5.46,20.32,147.00,0.19,10.40,5.84,10.47,0.05,0.29,8.18,0.01,0.06,0.89,0.88,2.64,52.80,20.03,10.50,5.36,0.93,11.19,2.55,5.09,0.49,20.86,0.30,7.58,1.41,0.29,23.62,1.60,78.55,306.46,123.96,94.55,29.41,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10646131,Hell Diver,040877,11-Aug-06,3.10,G,2.00,Yh,0.60,19.20,5.56,29.64,193.00,0.25,13.65,5.51,10.00,0.05,0.27,7.64,0.01,0.06,0.89,0.65,1.94,38.82,20.57,10.74,5.55,1.07,23.63,2.39,4.77,0.51,21.89,0.34,8.43,1.62,0.30,24.52,2.23,109.37,338.38,151.08,119.81,31.27,MDH,black,85.2,112269,13.10,6.50,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10246046,Ice House,040876,22-Aug-02,13.0,I,2.0,Ye,3.50,18.60,6.96,74.10,5.00,0.01,0.35,0.50,4.27,0.03,0.29,8.01,0.01,0.02,0.35,1.09,3.26,65.28,8.37,2.50,2.58,0.25,3.34,0.14,0.30,0.19,8.00,0.19,4.65,0.13,0.45,36.98,2.69,131.76,30.92,8.13,0.00,8.13,MSL,black,26.9,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10246125,Ice House,040876,18-Sep-02,13.3,I,3.0,Ye,3.50,18.30,6.87,77.49,5.00,0.01,0.35,1.19,4.65,0.04,0.20,5.49,0.02,0.07,1.06,0.75,2.25,45.00,8.76,2.48,2.01,0.28,4.30,0.13,0.28,0.18,7.83,0.17,4.15,0.13,0.47,38.46,2.45,120.05,20.84,7.55,0.00,7.55,MSL,black,26.9,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346046,Ice House,040876,10-Jul-03,12.9,I,2.0,Ye,2.70,17.40,6.73,64.24,5.00,0.01,0.35,0.89,4.42,0.01,0.30,8.48,0.01,0.06,0.89,1.10,3.29,65.76,4.42,0.50,2.28,0.19,1.42,1.78,3.81,0.16,6.84,0.21,5.28,0.13,0.42,34.28,2.56,125.39,28.01,11.74,0.00,11.74,MSL,black,26.9,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346132,Ice House,040876,7-Aug-03,13.5,I,1.0,Ye,2.50,17.00,6.83,64.48,2.50,0.00,0.18,0.89,4.44,0.03,0.28,7.87,0.01,0.06,0.89,1.15,3.44,68.82,8.20,0.50,3.11,0.37,6.64,1.66,3.55,0.15,6.49,0.21,5.15,0.13,0.42,34.44,2.52,123.53,26.43,10.20,0.00,10.20,MSL,black,26.9,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10446046,Ice House,040876,21-Jul-04,12.3,I,2.0,Ye,3.50,13.90,6.62,52.15,,0.00,0.00,0.76,4.05,0.01,0.19,5.26,0.01,0.06,0.89,1.05,3.14,62.88,5.39,0.50,1.77,0.32,3.52,0.89,1.90,0.21,8.86,0.19,4.65,0.13,0.44,36.16,2.03,99.67,36.43,7.31,0.19,7.12,MSL,black,26.9,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10446132,Ice House,040876,4-Aug-04,12.9,I,1.0,Ye,3.70,13.60,6.69,47.91,,,,0.73,4.00,0.01,0.19,5.32,0.01,0.06,0.89,0.97,2.90,58.08,7.49,2.89,2.11,0.23,3.46,1.27,2.72,0.18,7.65,0.18,4.43,0.13,0.47,38.62,2.11,103.29,41.61,15.95,2.89,13.06,MSL,black,26.9,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10546046,Ice House,040876,12-Jul-05,13.3,I,2.0,Ye,3.10,15.00,6.60,48.89,5.00,0.01,0.35,0.97,5.18,0.01,0.43,11.93,0.01,0.06,0.89,0.88,2.65,52.92,11.96,1.65,3.38,0.21,5.52,0.20,0.42,0.25,10.62,0.24,6.03,0.13,0.34,27.72,2.03,99.52,50.06,16.32,4.26,12.06,MSL,black,26.9,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10546132,Ice House,040876,11-Aug-05,13.6,I,2.0,Ye,4.00,17.50,6.62,51.78,5.00,0.01,0.35,0.88,5.06,0.01,0.34,9.52,0.01,0.06,0.89,0.92,2.75,55.08,5.85,1.16,3.28,0.29,2.16,0.10,0.21,0.20,8.77,0.20,5.10,0.13,0.33,26.81,2.05,100.50,37.86,14.65,5.75,8.90,MSL,black,26.9,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10646045,Ice House,040876,24-Jul-06,13.0,I,2.0,Ye,2.30,14.60,6.34,41.58,5.00,0.01,0.35,0.50,4.56,0.01,0.28,7.78,0.01,0.06,0.89,0.83,2.48,49.68,7.04,2.43,3.05,0.28,4.61,0.10,0.21,0.17,7.10,0.18,4.60,0.13,0.31,25.01,1.57,77.13,,18.54,2.83,15.70,MSL,black,26.9,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10646132,Ice House,040876,11-Aug-06,12.8,I,2.0,Ye,3.00,14.70,6.45,37.68,5.00,0.01,0.35,0.79,,0.03,0.28,7.87,0.01,0.06,0.89,0.74,2.23,44.64,16.10,1.40,3.08,0.28,8.23,0.14,0.30,0.20,8.64,0.17,4.30,0.13,0.32,26.08,1.88,91.92,,,5.88,-5.88,MSL,black,26.9,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10246047,Ice House,040876,22-Aug-02,13.00,G,12.00,Yh,3.50,38.90,7.74,370.07,1032.00,1.33,72.99,7.60,5.13,0.02,0.28,7.87,0.01,0.02,0.35,0.41,1.23,24.60,15.89,5.58,11.02,1.64,4.61,1.76,3.77,0.19,8.21,0.28,6.90,0.96,0.75,61.25,4.89,239.46,61.09,20.46,2.98,17.48,MSL,black,26.90,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10246126,Ice House,040876,18-Sep-02,13.30,G,12.00,Yh,3.50,44.60,7.76,418.18,1535.74,1.97,108.62,12.44,5.54,0.02,0.28,7.90,0.01,0.02,0.35,0.34,1.02,20.40,22.71,7.14,7.08,1.98,6.48,2.06,4.41,0.19,8.21,0.14,3.43,1.19,0.84,68.47,5.63,275.72,62.33,17.01,6.09,10.92,MSL,black,26.90,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346047,Ice House,040876,10-Jul-03,12.90,G,6.00,Yh,2.70,34.30,7.48,247.09,873.33,1.12,61.77,8.00,4.96,0.03,0.36,10.00,0.01,0.06,0.89,0.46,1.39,27.84,33.42,15.41,10.52,1.22,5.30,1.35,2.89,0.22,9.29,0.30,7.60,0.83,0.64,52.73,4.30,210.85,62.44,23.30,5.17,18.13,MSL,black,26.90,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346133,Ice House,040876,7-Aug-03,13.50,G,14.00,Yh,2.50,39.50,7.61,294.68,1323.19,1.70,93.59,11.28,5.08,0.03,0.27,7.64,0.01,0.06,0.89,0.67,2.01,40.20,72.90,1.03,23.24,1.91,5.36,1.76,3.77,0.16,6.92,0.30,7.53,1.00,0.71,57.97,4.88,239.02,68.46,20.58,0.00,20.58,MSL,black,26.90,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10446047,Ice House,040876,21-Jul-04,12.30,G,11.00,Yh,3.50,24.90,7.26,194.82,450.40,0.58,31.86,6.37,4.27,0.01,0.23,6.38,0.01,0.06,0.89,0.63,1.89,37.80,14.61,1.92,5.83,0.92,3.46,0.93,1.99,0.21,9.03,0.24,5.88,0.50,0.63,51.91,3.30,161.60,67.00,26.34,0.00,26.34,MSL,black,26.90,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10446133,Ice House,040876,4-Aug-04,12.90,G,12.00,Yh,3.70,26.70,7.40,219.18,739.90,0.95,52.33,7.31,4.07,0.01,0.30,8.48,0.01,0.06,0.89,0.31,0.93,18.66,16.31,6.39,7.52,1.05,5.64,1.33,2.85,0.20,8.56,0.24,5.98,0.62,0.64,52.23,3.78,185.02,63.87,9.61,2.16,7.45,MSL,black,26.90,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10546047,Ice House,040876,12-Jul-05,13.30,G,12.00,Yh,3.10,29.70,7.40,227.38,754.00,0.97,53.33,7.87,4.93,0.01,0.42,11.82,0.01,0.06,0.89,0.10,0.30,5.94,22.27,11.82,11.36,1.18,2.99,1.13,2.42,0.22,9.33,0.26,6.48,0.89,0.51,41.66,3.47,169.79,78.15,16.51,3.32,13.19,MSL,black,26.90,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10546133,Ice House,040876,11-Aug-05,13.60,G,12.00,Yh,4.00,35.60,7.46,261.13,1344.00,1.73,95.06,9.10,5.81,0.01,0.39,11.03,0.01,0.06,0.89,0.13,0.38,7.50,54.72,22.30,29.12,1.54,3.99,1.47,3.15,0.22,9.29,0.28,6.98,1.04,0.39,31.82,3.72,182.33,81.13,19.78,10.66,9.12,MSL,black,26.90,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10646047,Ice House,040876,24-Jul-06,13.00,G,12.00,Yh,2.30,29.80,7.40,200.75,889.00,1.14,62.88,8.62,4.40,0.01,0.42,11.73,0.01,0.06,0.89,0.25,0.74,14.76,50.51,34.30,33.18,1.21,3.49,1.42,3.04,0.23,9.89,0.24,6.05,0.75,0.50,41.16,2.95,144.31,75.09,11.55,0.00,11.55,MSL,black,26.90,193501,9.60,2.80,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
