_EF_NAICS_EZ.NAICS_CODE,V_EF_NAICS_EZ.REGISTRY_ID,V_EF_NAICS_EZ.STATE_CODE
339941,110000313009,RI
313320,110001663959,RI
11251,110006693541,RI
221320,110000546516,RI
4471,110017693913,RI
238910,110009439009,RI
4471,110004902160,RI
331521,110000905003,RI
326113,110037522865,RI
3251,110038789870,RI
313210,110001663138,RI
335121,110000312992,RI
31151,110002316048,RI
311712,110017359730,RI
531110,110001663682,RI
332911,110008053499,RI
3261,110022506769,RI
325910,110001664574,RI
332722,110002450516,RI
325510,110038789843,RI
3399,110001662567,RI
212299,110000496044,RI
22121,110001663584,RI
333992,110004903579,RI
332812,110024439758,RI
48811,110041392123,RI
48811,110041392178,RI
48811,110041392212,RI
48811,110041472527,RI
48811,110041465090,RI
48811,110041609907,RI
562212,110041417375,RI
313230,110038726288,RI
313221,110004936400,RI
313311,110041234223,RI
33221,110000312983,RI
325510,110041235776,RI
313221,110041235829,RI
325520,110041233732,RI
423930,110000618662,RI
423930,110004925706,RI
334518,110021276368,RI
221210,110040441242,RI
339912,110040851913,RI
45431,110040861421,RI
331316,110021276322,RI
812320,110040899249,RI
32612,110004907281,RI
322221,110042010249,RI
2211,110041695742,RI
221122,110041695751,RI
32311,110004924137,RI
44312,110042191918,RI
51711,110041695859,RI
48521,110004932789,RI
811121,110007823463,RI
42393,110000618662,RI
621511,110001662576,RI
332618,110004936366,RI
339932,110007823757,RI
23713,110043555541,RI
334419,110002087606,RI
331491,110004904391,RI
713930,110039151422,RI
483111,110004924538,RI
42469,110020686159,RI
62151,110043555569,RI
339911,110001663183,RI
42312,110004907067,RI
211111,110040441242,RI
332813,110001662941,RI
331222,110002087205,RI
332813,110002087303,RI
336611,110007222861,RI
336322,110031266662,RI
322222,110001662996,RI
322215,110009700831,RI
331422,110001664262,RI
441221,110043192390,RI
334119,110004936570,RI
44131,110043587099,RI
332812,110043854834,RI
811111,110043853229,RI
45291,110043860505,RI
32521,110043985621,RI
322214,110043555630,RI
11111,110044991925,RI
335999,110000771898,RI
339914,110000312475,RI
327212,110000312411,RI
32562,110043555630,RI
44122,110020119673,RI
321211,110004908440,RI
45431,110000313152,RI
2211,110000312796,RI
322222,110000312108,RI
61111,110026260748,RI
811111,110004911098,RI
31321,110009439946,RI
2211,110007825461,RI
336211,110004912541,RI
811111,110004913504,RI
811198,110004914102,RI
3219,110004914219,RI
441229,110007826059,RI
811111,110004914488,RI
811111,110004915110,RI
811121,110004915441,RI
4471,110006434457,RI
61131,110021350857,RI
811111,110004916707,RI
62121,110009441041,RI
62121,110004917706,RI
62121,110004917715,RI
4471,110004917760,RI
92119,110007826852,RI
48849,110004919660,RI
811121,110004919866,RI
511191,110004920532,RI
453998,110004920701,RI
44111,110007827101,RI
621112,110009441639,RI
3323,110009441648,RI
326212,110004921979,RI
62311,110004922059,RI
62121,110004922184,RI
44111,110009441728,RI
332721,110004922825,RI
621112,110009441871,RI
4471,110004923272,RI
92412,110007827343,RI
62211,110009438509,RI
62121,110007827414,RI
811111,110004924538,RI
621112,110004924547,RI
33991,110001134273,RI
54138,110004903150,RI
333292,110004903258,RI
811111,110004925145,RI
811111,110004925653,RI
339914,110004903383,RI
33991,110009438796,RI
339911,110000312910,RI
325998,110016692408,RI
62121,110009442237,RI
92411,110009442371,RI
62121,110004926448,RI
62121,110004926527,RI
811111,110004926858,RI
811121,110004926885,RI
311511,110004904471,RI
44131,110006434260,RI
44111,110004904989,RI
811198,110004905050,RI
44111,110004905194,RI
441221,110004905327,RI
81232,110001663780,RI
339999,110007824220,RI
811121,110004927376,RI
71399,110004927394,RI
62121,110009442816,RI
44111,110004905853,RI
44111,110004906004,RI
81232,110001664235,RI
61131,110004906451,RI
811111,110004906736,RI
332722,110002087250,RI
811111,110004907147,RI
811121,110004907539,RI
311812,110004907815,RI
48411,110004908119,RI
811121,110004908235,RI
339914,110000313161,RI
332722,110004908645,RI
81232,110004908832,RI
81232,110004909074,RI
334511,110004909387,RI
811111,110004909500,RI
453998,110028184532,RI
326199,110004909813,RI
811111,110004910641,RI
327320,110004929178,RI
336612,110012480868,RI
325211,110000312215,RI
336611,110021278918,RI
336611,110024428118,RI
811111,110004910446,RI
332813,110000312536,RI
331491,110000312545,RI
336612,110000312572,RI
334511,110000904996,RI
336612,110004916155,RI
811121,110004916681,RI
811121,110004929766,RI
811121,110016712930,RI
811121,110004905390,RI
62121,110004931922,RI
44611,110000312858,RI
81112,110015322248,RI
44611,110015666705,RI
326199,110000312732,RI
424690,110000602955,RI
221112,110000312796,RI
325998,110000312849,RI
339911,110000312938,RI
332813,110000312947,RI
325998,110000313018,RI
325998,110000313072,RI
325132,110000313189,RI
621111,110004922692,RI
811121,110018900992,RI
326199,110004906558,RI
811121,110018900830,RI
339911,110018900849,RI
33312,110018900858,RI
54138,110018901036,RI
811121,110017278140,RI
3399,110000313027,RI
486210,110007222852,RI
811121,110020892355,RI
23731,110020891141,RI
44411,110022305405,RI
61131,110022530821,RI
337127,110007824248,RI
332813,110004903034,RI
332722,110004903365,RI
332721,110004903409,RI
42471,110000313152,RI
811121,110004896845,RI
811121,110004897372,RI
56174,110007827441,RI
33636,110002058629,RI
339999,110001662941,RI
332211,110004903711,RI
333319,110009442736,RI
212319,110007827744,RI
48111,110004927410,RI
454311,110004924761,RI
811111,110009442022,RI
454311,110004924869,RI
333514,110004924921,RI
323122,110004925243,RI
4471,110004927447,RI
4471,110007827753,RI
62121,110009442781,RI
81232,110004930488,RI
11111,110004930923,RI
811111,110004905817,RI
811198,110004906040,RI
332813,110004906371,RI
811121,110004931049,RI
812922,110004931717,RI
81232,110004925626,RI
81149,110020892417,RI
339914,110009438849,RI
333319,110009438929,RI
81149,110004898790,RI
92811,110022516222,RI
339911,110004901642,RI
339914,110004901679,RI
339999,110004904845,RI
44511,110009439027,RI
313311,110004905032,RI
454311,110004905274,RI
811111,110004905292,RI
339914,110004902605,RI
339911,110012480742,RI
332618,110000312386,RI
339911,110004902874,RI
33995,110004933485,RI
61131,110007828360,RI
45291,110004936455,RI
44411,110012565385,RI
92612,110015686373,RI
336612,110007827584,RI
332813,110009442246,RI
313249,110015790312,RI
62121,110009442344,RI
332995,110004926581,RI
62121,110004926689,RI
811111,110004917573,RI
811198,110009441130,RI
811111,110004918260,RI
332721,110004918616,RI
811121,110004918634,RI
4471,110004919376,RI
81232,110004919820,RI
81232,110004919928,RI
484121,110024428083,RI
61131,110024438526,RI
23822,110024439749,RI
811111,110024439794,RI
339999,110004912293,RI
333994,110004912943,RI
811121,110004912961,RI
4841,110004913577,RI
334515,110009439241,RI
339911,110000312876,RI
811121,110004907450,RI
62131,110004898237,RI
452112,110024557497,RI
331491,110002087152,RI
332721,110004908397,RI
333512,110004908618,RI
33991,110004908985,RI
334414,110001662914,RI
621399,110004909430,RI
32732,110009439394,RI
4471,110004907922,RI
811121,110031423029,RI
44719,110031431699,RI
71393,110031404736,RI
62121,110031433964,RI
92612,110031404825,RI
333315,110031403513,RI
45291,110031433651,RI
48621,110031404816,RI
811111,110031408475,RI
62121,110031440037,RI
811111,110031396727,RI
811111,110031399270,RI
339914,110031416448,RI
811111,110031325723,RI
45211,110032659905,RI
48849,110004914479,RI
811111,110004915076,RI
621399,110004909733,RI
811118,110007825103,RI
4471,110007825194,RI
611519,110004910856,RI
811111,110004911365,RI
4471,110007825586,RI
61131,110024869187,RI
4471,110007826326,RI
441229,110009440783,RI
811111,110004916191,RI
48849,110004922736,RI
811118,110004923129,RI
811191,110004923165,RI
4471,110004923174,RI
44711,110004923254,RI
333514,110004923637,RI
621112,110004923940,RI
339913,110004924002,RI
811111,110004924477,RI
531190,110002058790,RI
611110,110001663744,RI
332813,110004936142,RI
33995,110004935278,RI
339911,110000762988,RI
621112,110004916823,RI
811111,110004918484,RI
454312,110007826941,RI
621112,110004921719,RI
92119,110004922683,RI
336611,110035439549,RI
562112,110035439585,RI
332813,110021349619,RI
339911,110004907290,RI
334514,110009441648,RI
325510,110021278785,RI
3399,110009441354,RI
313221,110004932360,RI
812320,110004908832,RI
313221,110004903463,RI
324121,110004921620,RI
622110,110001663343,RI
325510,110002087553,RI
332813,110000312224,RI
333911,110012482713,RI
3399,110000820023,RI
3399,110002087214,RI
812320,110004925136,RI
339911,110021347416,RI
314999,110015790312,RI
812320,110021347434,RI
339993,110021347443,RI
812320,110004905719,RI
3399,110012482045,RI
339911,110000312260,RI
812320,110004905826,RI
812320,110004898790,RI
812320,110021276297,RI
611310,110004928124,RI
336611,110009438689,RI
311711,110000735704,RI
336611,110001991532,RI
812320,110009439991,RI
622210,110022665043,RI
53131,110040516867,RI
335931,110000895096,RI
48811,110038001630,RI
454312,110000312894,RI
331422,110037963718,RI
221320,110000760757,RI
81149,110000312572,RI
313312,110000312199,RI
331311,110000313018,RI
81149,110037441998,RI
62121,110037442041,RI
334512,110037441952,RI
621111,110037442130,RI
484122,110037442149,RI
811121,110004907272,RI
45439,110004923673,RI
334516,110007827940,RI
62121,110004931496,RI
811212,110017278159,RI
339112,110000762675,RI
325199,110035831222,RI
339914,110004931058,RI
312111,110018901018,RI
811111,110004902053,RI
441221,110004918983,RI
81232,110004898790,RI
45291,110004900153,RI
44111,110004900251,RI
62121,110009443183,RI
53212,110004929560,RI
333515,110007824131,RI
335999,110010955154,RI
44131,110006434705,RI
44313,110014440907,RI
44313,110014440925,RI
811191,110015322890,RI
44612,110038910248,RI
33271,110038910257,RI
71393,110038910328,RI
811118,110038862665,RI
81112,110038910408,RI
53249,110038910417,RI
337214,110007824248,RI
339115,110004903052,RI
334419,110000313009,RI
92811,110004913336,RI
811111,110004914120,RI
811121,110004914120,RI
327991,110016712850,RI
339116,110018900821,RI
322222,110018901036,RI
541611,110020480399,RI
48411,110042010203,RI
335313,110002087287,RI
335314,110002087287,RI
811411,110022305370,RI
811121,110024258729,RI
32551,110009438796,RI
325192,110000312457,RI
33121,110009441005,RI
45291,110004898736,RI
326199,110007824293,RI
333514,110004903766,RI
48412,110039562862,RI
424690,110014428182,RI
81112,110009439679,RI
313311,110000312723,RI
332999,110004902543,RI
32615,110043985621,RI
44111,110004931423,RI
81112,110004931423,RI
811121,110040101635,RI
334517,110031433973,RI
331511,110007176607,RI
221320,110009444869,RI
488490,110006802692,RI
811121,110017775246,RI
332813,110000312260,RI
325411,110000753408,RI
326160,110001663003,RI
3399,110012483785,RI
336322,110002087642,RI
237310,110009439009,RI
3399,110002087410,RI
3399,110000312956,RI
4471,110001664351,RI
334513,110002058692,RI
454311,110009814077,RI
335912,110045298771,RI
2211,110017413191,RI
3399,110001133933,RI
454311,110004917733,RI
339992,110038790993,RI
812220,110004910963,RI
332811,110002087205,RI
3152,110000312741,RI
488490,110009813274,RI
3399,110000762933,RI
331491,110000313054,RI
334411,110004908529,RI
4471,110012295710,RI
321211,110012803154,RI
332321,110002087296,RI
339911,110004896319,RI
488490,110007827600,RI
221320,110000915109,RI
31331,110038789861,RI
221320,110002051868,RI
3399,110012481126,RI
4471,110017849319,RI
622110,110038789790,RI
3399,110001663478,RI
325611,110028174366,RI
3399,110000312260,RI
327320,110007176750,RI
4471,110009441906,RI
332813,110002087606,RI
339993,110001662969,RI
221320,110002051902,RI
928110,110006693756,RI
713930,110032602039,RI
812320,110004921247,RI
31331,110001662905,RI
4471,110028184621,RI
313311,110001662638,RI
326211,110000312368,RI
33995,110040374537,RI
48811,110041392169,RI
48811,110041392196,RI
42469,110041426506,RI
3399,110000312108,RI
324121,110041628352,RI
334512,110041625747,RI
2211,110041234161,RI
32612,110009700831,RI
3399,110000312947,RI
32612,110004903515,RI
325211,110041233741,RI
313221,110041234508,RI
313311,110000772085,RI
325314,110000729944,RI
334518,110012481858,RI
324121,110040899267,RI
812320,110004896532,RI
3399,110001662932,RI
334518,110001664128,RI
51711,110041695779,RI
51711,110041695788,RI
51711,110041695822,RI
51711,110041695886,RI
332311,110004932565,RI
325199,110000313143,RI
334512,110004901802,RI
333292,110032754277,RI
54138,110000820014,RI
332812,110001662718,RI
334413,110000312590,RI
811121,110041679458,RI
323113,110041679494,RI
562119,110041679528,RI
339999,110041679582,RI
713930,110041923185,RI
332999,110000762960,RI
485410,110042394496,RI
485410,110042374356,RI
331419,110000905003,RI
424710,110000581282,RI
81112,110015666714,RI
332618,110000312858,RI
325131,110043192407,RI
326199,110000312750,RI
81121,110004917190,RI
339999,110004925902,RI
313221,110002337007,RI
54171,110043229217,RI
44412,110004910008,RI
811121,110044991881,RI
32311,110018900956,RI
32311,110004902570,RI
32311,110006119468,RI
32732,110043779060,RI
61131,110043860523,RI
44412,110043860514,RI
221310,110028184532,RI
81111,110004908690,RI
81149,110004901009,RI
325199,110016692408,RI
49311,110038168096,RI
332811,110000313036,RI
22131,110004922415,RI
62149,110022434123,RI
44111,110004911533,RI
333319,110009440024,RI
92811,110011780288,RI
326113,110000312607,RI
11299,110009310030,RI
333414,110012483259,RI
339914,110001662932,RI
339911,110002087571,RI
811111,110007825960,RI
811121,110004913924,RI
81232,110009440541,RI
811112,110004914246,RI
811111,110004914442,RI
811111,110004914601,RI
92119,110007826184,RI
332813,110002087633,RI
811118,110004915290,RI
621112,110004916164,RI
811111,110004916226,RI
33991,110009440863,RI
92119,110009310174,RI
454311,110004916805,RI
811111,110009440934,RI
44111,110004916841,RI
54194,110004916903,RI
333294,110004917216,RI
811111,110004917500,RI
44111,110004917788,RI
811111,110009441121,RI
92119,110007825121,RI
811111,110009441256,RI
811111,110004919786,RI
81232,110021276297,RI
339112,110007827138,RI
81232,110004921247,RI
811111,110004921292,RI
611519,110021492801,RI
332721,110004921933,RI
62121,110004922040,RI
61111,110021726523,RI
811198,110006119459,RI
62121,110004923030,RI
336612,110004923478,RI
811118,110004923593,RI
4471,110004923824,RI
4471,110004924020,RI
333911,110009442004,RI
332996,110000312652,RI
339911,110004902696,RI
314999,110000312279,RI
313221,110001663245,RI
339914,110020578999,RI
62121,110004925252,RI
71393,110004925403,RI
334419,110004903454,RI
339914,110004903837,RI
339914,110002087562,RI
811111,110009442255,RI
81231,110012481411,RI
323116,110004926536,RI
811111,110004926787,RI
339911,110004904649,RI
212312,110009438983,RI
81232,110004905176,RI
44121,110004905461,RI
326212,110004905522,RI
811111,110004905531,RI
4471,110004927465,RI
62121,110014362545,RI
81232,110012482991,RI
81231,110004905746,RI
81232,110009439081,RI
811111,110004906031,RI
332813,110002087456,RI
811118,110004907254,RI
48849,110004908048,RI
81232,110007824836,RI
811111,110004908324,RI
32551,110002087553,RI
333999,110009439535,RI
61131,110001664084,RI
92119,110004908805,RI
811111,110004908869,RI
621511,110004909047,RI
62211,110004909252,RI
61131,110004909378,RI
332813,110004909608,RI
336399,110004909804,RI
811111,110004909895,RI
339911,110004909957,RI
111998,110004910179,RI
332721,110004910311,RI
333514,110000496044,RI
336611,110000581264,RI
332999,110008053499,RI
454311,110004925733,RI
621512,110017775610,RI
44611,110032960188,RI
62121,110032960204,RI
221112,110002054491,RI
335929,110000312484,RI
327910,110002087287,RI
54194,110016712645,RI
811121,110016712707,RI
62121,110016712789,RI
44411,110024267620,RI
44411,110016712814,RI
332813,110016712921,RI
61131,110001663227,RI
331492,110000312670,RI
332313,110000312698,RI
325998,110035831222,RI
331421,110004936366,RI
332999,110000312652,RI
331419,110000312661,RI
334513,110004912587,RI
325998,110000496062,RI
424710,110032893938,RI
332112,110000312260,RI
331491,110000496062,RI
92811,110000819856,RI
327320,110017385006,RI
326199,110000313223,RI
81232,110004897666,RI
44111,110043192425,RI
62121,110018900812,RI
54194,110018900938,RI
488119,110017278113,RI
339113,110032604938,RI
325412,110000312135,RI
562212,110009310101,RI
71393,110020578588,RI
62121,110020478598,RI
32511,110004910142,RI
44611,110020886969,RI
44411,110022305370,RI
621512,110022530830,RI
44112,110004918082,RI
42312,110004919580,RI
334413,110022824425,RI
316993,110004902981,RI
332722,110001663067,RI
339914,110000313009,RI
313113,110000312091,RI
326299,110004903524,RI
811198,110004924529,RI
333111,110004924789,RI
811121,110004924814,RI
54194,110004924823,RI
811111,110004924878,RI
62121,110004924887,RI
81232,110004924958,RI
621511,110004925092,RI
621112,110009442086,RI
339911,110001663735,RI
4471,110007827913,RI
323119,110004922790,RI
811111,110004905700,RI
332911,110009439107,RI
44111,110004906120,RI
325992,110004906219,RI
332813,110004906692,RI
621112,110004925751,RI
71393,110004925779,RI
339914,110000890153,RI
333911,110004904293,RI
339911,110009438894,RI
339911,110004901660,RI
324121,110009439009,RI
8112,110004905023,RI
332813,110004902794,RI
51711,110021015346,RI
323119,110015686346,RI
334412,110004926260,RI
54138,110009442424,RI
49311,110000547560,RI
56221,110000574977,RI
81149,110004917591,RI
45421,110004917868,RI
811111,110004917920,RI
811111,110004918171,RI
325992,110004918395,RI
336612,110004921032,RI
53231,110004921041,RI
4471,110004919027,RI
71395,110004919385,RI
62121,110004919713,RI
332813,110001664422,RI
488991,110004920186,RI
811111,110004905470,RI
336611,110024428127,RI
81232,110004912550,RI
81232,110004912596,RI
332721,110004907030,RI
333112,110004907398,RI
71393,110009440792,RI
332813,110002087170,RI
339913,110004907995,RI
44719,110031439888,RI
621391,110031400598,RI
71212,110031437283,RI
335999,110009440444,RI
332999,110007825997,RI
811111,110004914255,RI
42331,110031368972,RI
81149,110031303079,RI
811111,110031410033,RI
621111,110032659932,RI
313249,110004914790,RI
32311,110032660001,RI
333415,110004909653,RI
334513,110007825201,RI
44419,110032660038,RI
54133,110004910687,RI
45111,110004910749,RI
324191,110004911230,RI
4471,110004911392,RI
339914,110001663478,RI
332116,110004911748,RI
81131,110004911784,RI
339999,110000312260,RI
53249,110024832779,RI
336322,110004903588,RI
4471,110004915405,RI
4471,110004915414,RI
333514,110009440765,RI
62211,110009440872,RI
811111,110004916431,RI
811113,110004918858,RI
811111,110004917001,RI
332116,110004921951,RI
56172,110009441755,RI
326112,110000312233,RI
621112,110004923076,RI
811198,110004921318,RI
4471,110004921461,RI
621111,110004921504,RI
44719,110012295685,RI
811111,110004924100,RI
621112,110004924128,RI
339911,110004924280,RI
4471,110009441979,RI
326199,110007827432,RI
332813,110004910188,RI
331513,110004924501,RI
611110,110021277768,RI
32612,110040889857,RI
44611,110033625913,RI
53212,110033622756,RI
336611,110006869371,RI
339914,110002087447,RI
811111,110004905372,RI
51111,110004920578,RI
62121,110004922488,RI
441222,110004927884,RI
811111,110016712690,RI
327320,110004919116,RI
812320,110012481812,RI
622110,110004908887,RI
33451,110004912587,RI
